"AROKATO";"nom";"idreg";"pays";"lat";"long";"Est-ouest";"Capitale";"hydrocarbures";"date creation";"typharris1963";"NMonopoleSnyder";"COAL-AREA";"COAL-ID";"COAL-NAME";"Coal01";"IDRAIL";"DIST-RAIL";"1959y";"1970y";"1979y";"1989y";"2002y";"2010y"
"AR17410";"aleksandrov";"RUS75";"Russie";56.4;38.71666667;"O";0;0;1778;;;0;0;0;0;3907;1556.175439;73.8;89;98.8;104.4;96.895;90.784
"AR17230501";"kirzhach";"RUS75";"Russie";56.15;38.86666667;"O";0;0;1778;;;0;0;0;0;4117;298.2458847;22.61;27.942;34.397;36.86;32.937;30.044
"AR46212501";"egorjevsk";"RUS40";"Russie";55.38333333;39.03333333;"O";0;0;1778;"1B2";;0;0;0;0;4730;400.1631363;59.3;67.2;72.2;73.9;68.303;70.133
"AR42209501";"dankov";"RUS36";"Russie";53.25;39.15;"O";0;0;1778;;;0;0;0;0;6888;892.7466415;12.7;20;23.2;24.7;23.249;21.056
"AR17246520";"pokrov";"RUS75";"Russie";55.91666667;39.18333333;"O";0;0;1778;;;0;0;0;0;4387;4427.668296;;10;14.6;16;15.92;17.762
"AR17256501";"jurevpolski";"RUS75";"Russie";56.5;39.68333333;"O";0;0;1778;;;0;0;0;0;4039;1234.984536;16.8;22.1;21.1;22.2;19.906;19.588
"AR42256501";"chaplygin";"RUS36";"Russie";53.25;39.96666667;"O";0;0;1778;;;0;0;0;0;6911;1032.400424;10.7;13.7;13.4;14.3;13.656;12.656
"AR34420";"nerehta";"RUS30";"Russie";57.45;40.58333333;"O";0;0;1778;;;0;0;0;0;3203;547.9554243;22.3;25.7;26.7;29.3;26.002;22.817
"AR17252501";"sudogda";"RUS75";"Russie";55.95;40.86666667;"O";0;0;1778;;;0;0;0;0;4304;27.41314948;;10.5;12.4;14.2;13.328;11.848
"AR17425";"kovrov";"RUS75";"Russie";56.35;41.31666667;"O";0;0;1778;"3A1";;0;0;0;0;3930;2300.067823;98.6;123.3;142.9;159.9;155.499;145.492
