"AROKATO";"nom";"idreg";"pays";"lat";"long";"Est-ouest";"Capitale";"hydrocarbures";"date creation";"typharris1963";"NMonopoleSnyder";"1959y";"1970y";"1979y";"1989y";"2002y";"2010y";
"ABE02101";"Baranabitchi";"BEL00";"Belarus";53,13;26,03;"O";0;0;;"2A";;58.064;101.472;130.647;159.315;168.119;168.666;
"AGE12101";"Akwa (Sokhoumi)";"GEO00";"Georgie";43;41,02;"O";1;0;;"1B4";;64.73;101.798;114.373;121.406;43.716;64.478;
"AR63407";"Balakovo";"RUS60";"Russie";52;47,8;"O";0;1;;;;36.4;103.5;151.6;197.4;200.47;199.573;
"AUZ12109";"Almalyk";"OUZ00";"Ouzbekistan";40,84;69,6;"E";0;0;;;;40.48;103.684;126.701;145.466;149.569;152.535;
"ABE03116";"Polatsk";"BEL00";"Belarus";55,49;28,8;"O";0;0;;;;46.189;104.296;138.262;169.536;185.678;181.803;
"AUA09106";"Ivano-Frankivsk";"UKR10";"Ukraine";48,92;24,71;"O";1;0;;"1B4";;66.456;104.971;149.747;214.021;218.435;224.401;
"AR32404";"anzherosud";"RUS25";"Russie";56,08333333;86,03333333;"E";0;0;;"3B1";;115.6;106.2;105.1;108;86.48;76.669;
"AAR06107";"Vanadzor";"ARM00";"Armenie";40,81;44,49;"O";1;0;;;;49.423;106.624;146.036;75.616;106.968;104.8;
"AUA05128";"Krasnoarmiisk";"UKR06";"Ukraine";48,28;37,18;"O";0;0;;;;99.337;107.09;118.657;136.113;123.179;116.409;
"AUA10102";"Bila Tserkva";"UKR12";"Ukraine";49,78;30,12;"O";0;0;;;;70.633;108.545;151.318;196.878;200.693;209.25;
"AR68415";"michurinsk";"RUS64";"Russie";52,9;40,48333333;"O";0;0;;"2A";;89.919;109.235;116.013;124.415;96.093;98.758;
"AR46215501";"sergiposad";"RUS40";"Russie";56,3;38,13333333;"O";0;0;;;;89.9;110.6;129.2;138;134.538;132.49;
